title,year,isbn,booktype,author,rating,genres,file
"The Hunger Games (The Hunger Games, #1)",2008,null,books.book,['https://www.goodreads.com/author/show/153394.Suzanne_Collins'],7991819,genres/young-adult|genres/fiction|genres/dystopia|genres/fantasy|genres/science-fiction|genres/romance|genres/adventure|genres/teen|genres/post-apocalyptic|genres/audiobook,files/1_2767052-the-hunger-games.html
Harry Potter and the Order of the Phoenix (Harry Potterâ€¦,2003,null,books.book,"['https://www.goodreads.com/author/show/1077326.J_K_Rowling', 'https://www.goodreads.com/author/show/2927.Mary_GrandPr_']",3157309,genres/fantasy|genres/young-adult|genres/fiction|genres/magic|genres/childrens|genres/audiobook|genres/adventure|genres/middle-grade|genres/classics|genres/science-fiction-fantasy,files/1_2.Harry_Potter_and_the_Order_of_the_Phoenix.html
Pride and Prejudice,1813,null,books.book,"['https://www.goodreads.com/author/show/1265.Jane_Austen', 'https://www.goodreads.com/author/show/3500.Anna_Quindlen']",3957849,genres/classics|genres/fiction|genres/romance|genres/historical-fiction|genres/literature|genres/historical|genres/audiobook|genres/novels|genres/historical-romance|genres/adult,files/1_1885.Pride_and_Prejudice.html
To Kill a Mockingbird,1960,null,books.book,['https://www.goodreads.com/author/show/1825.Harper_Lee'],5709187,genres/classics|genres/fiction|genres/historical-fiction|genres/school|genres/literature|genres/young-adult|genres/historical|genres/read-for-school|genres/novels|genres/high-school,files/1_2657.To_Kill_a_Mockingbird.html
The Book Thief,2006,null,books.book,['https://www.goodreads.com/author/show/11466.Markus_Zusak'],2372891,genres/historical-fiction|genres/fiction|genres/young-adult|genres/historical|genres/classics|genres/war|genres/world-war-ii|genres/holocaust|genres/books-about-books|genres/novels,files/1_19063.The_Book_Thief.html
Atlas Shrugged,1957,9780452011878,books.book,"['https://www.goodreads.com/author/show/432.Ayn_Rand', 'https://www.goodreads.com/author/show/1421.Leonard_Peikoff']",380926,genres/fiction|genres/classics|genres/philosophy|genres/politics|genres/literature|genres/science-fiction|genres/novels|genres/dystopia|genres/economics|genres/business,files/2_662.Atlas_Shrugged.html
"The Notebook (The Notebook, #1)",1996,null,books.book,['https://www.goodreads.com/author/show/2345.Nicholas_Sparks'],1599584,genres/romance|genres/fiction|genres/chick-lit|genres/contemporary|genres/adult|genres/adult-fiction|genres/classics|genres/contemporary-romance|genres/love|genres/drama,files/2_33648131-the-notebook.html
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",2000,null,books.book,"['https://www.goodreads.com/author/show/1077326.J_K_Rowling', 'https://www.goodreads.com/author/show/2927.Mary_GrandPr_', 'https://www.goodreads.com/author/show/3911856.Jim_Kay']",3409308,genres/fantasy|genres/young-adult|genres/fiction|genres/magic|genres/childrens|genres/middle-grade|genres/audiobook|genres/adventure|genres/classics|genres/science-fiction-fantasy,files/2_6.Harry_Potter_and_the_Goblet_of_Fire.html
Winnie-the-Pooh (Winnie-the-Pooh #1),1926,9780525467564,books.book,"['https://www.goodreads.com/author/show/81466.A_A_Milne', 'https://www.goodreads.com/author/show/57085.Ernest_H_Shepard']",314514,genres/classics|genres/childrens|genres/fiction|genres/fantasy|genres/animals|genres/middle-grade|genres/audiobook|genres/picture-books|genres/young-adult|genres/juvenile,files/2_99107.Winnie_the_Pooh.html
Fahrenheit 451,1953,9780307347978,books.book,['https://www.goodreads.com/author/show/1630.Ray_Bradbury'],2224850,genres/classics|genres/fiction|genres/science-fiction|genres/dystopia|genres/school|genres/literature|genres/novels|genres/fantasy|genres/audiobook|genres/adult,files/2_4381.Fahrenheit_451.html
